ant_id,tag_id,head_tail_px,counts
1,001,269.2675249635574,0
2,005,277.51036016696696,3074
3,006,297.90099026354403,0
4,007,295.6653513687392,0
5,010,308.1103698352267,19913
6,011,189.18773744616732,0
7,013,284.8227519001948,28189
8,014,324.0385779502188,7438
9,021,294.63536787018626,25012
10,024,317.28851224083115,6585
11,026,263.6512848442054,551
12,028,265.87591090582083,0
13,031,325.02615279389545,24109
14,032,259.23734298900695,1505
15,033,275.60116110060164,8721
16,035,286.29530209208735,0
17,036,302.6450065670992,10246
18,038,297.05386716890297,22102
19,039,179.74426277353058,0
20,040,287.9340202199106,6991
21,041,323.28934408668664,758
22,042,307.8327467960484,0
23,043,255.9882809817666,12553
24,045,260.00000000000006,7922
25,047,273.66037345585846,6411
26,048,258.49564793241694,507
27,049,288.9982698910153,20099
28,052,280.0803456153239,28038
29,054,307.0260575260667,23220
30,058,279.12183719659026,12012
31,060,303.7268509697485,0
32,061,192.26024029944497,0
33,062,266.3606577556076,27838
34,063,283.73002935115255,0
35,064,304.74419828500993,0
36,067,288.0530436904029,8596
37,068,319.9970255636619,4258
38,071,294.56819516097545,0
39,072,280.3667477010936,5313
40,080,286.9440649484377,20882
41,082,291.8092341202886,0
42,087,299.7543689089979,2067
43,090,280.53025070242387,0
44,093,315.9434002707941,24531
45,094,266.61850857925396,537
46,097,287.1861623860073,3081
47,098,285.15570345190406,10560
48,100,285.4244209883979,27543
49,101,298.8926600846506,3822
50,106,308.31336352308443,23244
51,108,276.8203117915728,18833
52,111,281.9187390273448,19311
53,114,279.8398238072965,19137
54,117,287.6572927381956,167
55,118,313.8775558445538,30
56,123,255.97970787207024,7366
57,125,263.0392474912483,1034
58,126,299.4291259243918,12723
59,128,288.7883430199076,2950
60,129,269.6752041667262,6622
61,133,279.13998923348385,0
62,135,289.8803802656172,18502
63,137,286.57928528140866,86
64,140,197.70276234094953,28052
65,141,282.07118248064046,22454
66,142,320.42215203058475,24573
67,144,268.3808963305085,21231
68,145,283.8436400274825,20931
69,146,312.00935674083036,25371
70,147,292.1699363682946,437
71,148,286.2641017535357,10708
72,149,289.48960239006084,14941
73,151,267.07495090752997,0
74,154,270.5584700445631,27568
75,156,258.5668477472171,0
76,164,274.196363360961,0
77,167,285.2838153431077,0
78,168,282.7814986614872,23351
79,169,282.10928047273205,0
80,171,273.23309226736603,114
81,172,283.79315200857815,0
82,177,260.24887502583476,0
83,181,299.5080776307024,14067
84,182,295.3309425994008,0
85,186,268.4316140647356,0
86,191,279.7860525268513,0
87,192,255.35758756812334,0
88,193,253.8266664790417,26701
89,194,295.02268033856564,1947
90,195,269.82925421072576,14163
91,196,283.22707131839815,24089
92,197,276.56914065657116,0
93,199,278.8523695247834,18952
94,200,280.08294585650737,28188
95,201,267.6296855229321,24409
96,202,305.66911174172384,16892
97,205,302.5805971819133,2324
98,208,273.26455683867727,9377
99,209,263.4502231765319,24463
100,211,288.1226793906132,12342
101,212,277.31422088590773,26019
102,213,291.4185841775234,3836
103,217,268.0042174532119,15098
104,219,295.9126086223537,27660
105,221,288.5798673927556,15427
106,222,267.88656384208184,19395
107,225,304.19355312113845,26088
108,227,282.32507198521995,12791
109,230,284.80121184554497,3882
110,232,194.87026089758078,0
111,234,276.9833215560197,16427
112,235,298.85430424675087,16557
113,236,295.03239429860827,4032
114,110,185.024322725419,0
115,109,190.00000000000003,0
116,020,305.29002604081256,12751
117,088,290.1941050494242,1183
118,170,274.6343023003499,5
119,187,280.4460732476031,0
120,204,288.33487475503205,0
121,206,285.51182112129777,0
122,261,303.6593486128823,0
123,263,280.0178565734694,0
124,264,284.97192844208354,0
125,526,277.90825824361536,0
126,533,273.8649302119568,0
127,581,278.6772326545532,10
128,618,291.247317584214,0
129,620,277.4166541503953,0
130,626,305.6403114773966,0
131,662,264.3671689147501,0
132,664,302.23831656492536,0
133,666,275.4959164851632,0
134,696,265.1886121235223,0
135,723,292.0359566902678,0
136,726,296.9713790923294,0
137,741,261.9255619446106,0
138,754,316.8359196808342,0
139,755,281.58480072617556,0
140,762,308.60330523181375,0
141,772,272.41512439657237,0
142,773,262.6194966105906,4
143,777,268.82894189428345,0
144,778,290.32740139366797,21
145,785,266.55205870523673,0
146,808,271.1844390815962,0
147,810,289.4995682207488,0
148,824,311.3615262038648,1269
149,828,269.55147931332147,0
150,927,298.60509037858014,0
151,942,290.4134983088768,0
152,947,276.2028240261131,0
153,977,260.69330639661615,0
154,978,301.059794725234,0
155,996,291.06184909740404,0
156,997,293.78223227417953,0
157,1000,263.4406954135977,0
158,621,268.53863781586443,0
159,552,262.42903802742563,0
160,796,299.0819285747636,0
